connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,fragment_errors,service_type,destination_syn_error_rate,destination_bytes,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
0,0.0,0.05,S0,60,0.0,tcp,0.0,1.0,21,0,private,1.0,0,0,255,0.0,0.1,anomaly
0,0.0,0.05,S0,146,0.0,tcp,0.0,1.0,25,0,printer,1.0,0,0,255,0.0,0.05,anomaly
0,0.96,0.01,SF,511,0.0,icmp,0.0,0.0,244,0,ecr_i,0.0,0,0,255,0.01,0.0,anomaly
0,0.0,0.08,S0,211,0.0,tcp,0.0,1.0,9,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.08,REJ,118,0.0,tcp,0.0,0.0,5,0,http_443,0.0,0,0,255,1.0,0.07,anomaly
0,1.0,0.21,SF,5,0.0,udp,0.0,0.0,5,0,private,0.0,0,0,255,0.0,0.0,anomaly
0,0.68,0.02,SF,511,0.0,icmp,0.0,0.0,174,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.0,0.05,S0,148,0.0,tcp,0.0,1.0,24,0,kshell,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.05,S0,239,0.0,tcp,0.0,1.0,6,0,echo,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.05,S0,120,0.0,tcp,0.0,1.0,18,0,courier,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.09,S0,239,0.0,tcp,0.0,1.0,4,0,mtp,1.0,0,0,255,0.0,0.06,anomaly
0,1.0,0.0,SF,129,0.0,icmp,0.0,0.0,255,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.0,0.06,S0,113,0.0,tcp,0.0,1.0,1,0,klogin,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,221,0.0,tcp,0.0,1.0,3,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.08,RSTO,179,0.0,tcp,0.0,0.0,7,0,sunrpc,0.0,0,0,255,1.0,0.07,anomaly
0,1.0,0.0,SF,1,0.51,icmp,1.0,0.0,83,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.06,S0,176,0.0,tcp,0.0,1.0,12,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.07,S0,205,0.0,tcp,0.0,1.0,8,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.05,S0,108,0.0,tcp,0.0,1.0,15,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.07,S0,108,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,RSTO,264,0.0,tcp,0.0,0.0,13,0,daytime,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.05,S0,287,0.0,tcp,0.0,1.0,24,0,auth,1.0,0,0,255,0.0,0.05,anomaly
0,0.21,0.04,SF,511,0.0,icmp,0.0,0.0,53,0,ecr_i,0.21,0,0,255,0.02,0.0,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,231,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.06,S0,223,0.0,tcp,0.0,1.0,17,0,echo,1.0,0,0,255,0.0,0.06,anomaly
0,0.49,0.54,REJ,1,0.0,tcp,0.0,0.0,1,0,private,0.04,0,0,255,0.49,0.0,anomaly
0,0.0,0.08,REJ,246,0.0,tcp,0.0,0.0,1,0,vmnet,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.06,S0,205,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.44,REJ,85,0.0,tcp,0.0,0.0,1,0,private,0.0,0,0,210,0.39,1.0,anomaly
0,1.0,0.0,SF,1,0.25,icmp,1.0,0.0,95,0,eco_i,0.0,0,0,3,0.0,0.0,anomaly
0,1.0,0.0,SF,1,0.25,icmp,1.0,0.0,212,0,eco_i,0.0,0,0,4,0.0,0.0,anomaly
0,0.0,0.09,S0,47,0.0,tcp,0.0,1.0,19,0,private,1.0,0,0,255,0.0,0.13,anomaly
0,0.0,0.09,REJ,213,0.0,tcp,0.0,0.0,1,0,private,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.07,RSTO,252,0.0,tcp,0.0,0.0,2,0,time,0.0,0,0,255,1.0,0.06,anomaly
0,0.13,0.87,SF,133,0.0,udp,0.0,0.0,33,3,private,0.09,0,0,255,0.78,0.05,anomaly
0,0.0,0.07,S0,270,0.0,tcp,0.0,1.0,1,0,netbios_dgm,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,1.0,REJ,509,0.0,tcp,0.0,0.0,1,0,other,0.07,0,0,255,0.93,1.0,anomaly
0,0.0,0.07,S0,141,0.0,tcp,0.0,1.0,10,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.06,0.0,SF,4,0.0,tcp,0.0,0.0,18,0,http,0.0,8314,1,18,0.06,0.0,anomaly
0,0.0,0.07,S0,227,0.0,tcp,0.0,1.0,16,0,systat,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,240,0.0,tcp,0.0,1.0,9,0,ldap,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.0,SF,3,0.0,tcp,0.0,0.0,255,0,http,0.0,8314,1,255,0.02,0.0,anomaly
0,0.0,0.08,REJ,204,0.0,tcp,0.0,0.0,2,0,systat,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.07,S0,147,0.0,tcp,0.0,1.0,19,0,rje,1.0,0,0,255,0.0,0.07,anomaly
0,1.0,0.0,SF,1,1.0,icmp,0.0,0.0,51,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.07,S0,263,0.0,tcp,0.0,1.0,5,0,bgp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,111,0.0,tcp,0.0,1.0,15,0,courier,1.0,0,0,255,0.0,0.05,anomaly
0,0.01,0.06,S0,76,0.0,tcp,0.0,1.0,36,0,ftp_data,1.0,0,0,255,0.0,0.05,anomaly
0,1.0,0.0,SF,1,0.25,icmp,0.0,0.0,208,0,eco_i,0.0,0,0,4,0.0,0.0,anomaly
0,0.4,0.02,SF,101,0.0,icmp,0.0,0.0,101,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.66,0.67,RSTR,1,0.0,tcp,0.0,0.0,1,0,private,0.0,0,0,255,0.67,0.0,anomaly
0,0.01,0.06,S0,131,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,186,0.0,0.06,anomaly
0,0.0,0.07,S0,300,0.0,tcp,0.0,1.0,2,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.01,0.05,S0,50,0.0,tcp,0.0,1.0,47,0,telnet,1.0,0,0,255,0.0,0.08,anomaly
0,0.01,0.09,S0,298,0.0,tcp,0.0,1.0,1,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,1.0,0.06,SF,48,0.0,udp,0.0,0.0,87,0,private,0.0,0,0,255,0.0,0.08,anomaly
0,0.0,0.07,S0,114,0.0,tcp,0.0,1.0,8,0,Z39_50,1.0,0,0,255,0.0,0.07,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,255,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.05,S0,113,0.0,tcp,0.0,1.0,11,0,courier,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.07,S0,115,0.0,tcp,0.0,1.0,13,0,Z39_50,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,S0,289,0.0,tcp,0.0,1.0,6,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,REJ,202,0.0,tcp,0.0,0.0,2,0,supdup,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.08,S0,130,0.0,tcp,0.0,1.0,1,0,private,1.0,0,0,255,0.0,0.08,anomaly
0,0.0,0.07,S0,203,0.0,tcp,0.0,1.0,16,0,discard,1.0,0,0,255,0.0,0.06,anomaly
2,0.03,0.0,SF,3,0.0,tcp,0.0,0.0,34,0,http,0.0,8314,1,34,0.32,0.0,anomaly
0,0.0,0.07,REJ,262,0.0,tcp,0.0,0.0,2,0,link,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.06,S0,110,0.0,tcp,0.0,1.0,30,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.05,S0,273,0.0,tcp,0.0,1.0,23,0,ftp,1.0,0,0,255,0.0,0.05,anomaly
0,0.01,0.07,S0,94,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,148,0.0,0.06,anomaly
0,0.0,0.07,S0,98,0.0,tcp,0.0,1.0,5,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,S0,40,0.0,tcp,0.0,1.0,12,0,private,1.0,0,0,255,0.0,0.12,anomaly
0,0.0,0.08,S0,202,0.0,tcp,0.0,1.0,19,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,1.0,0.0,SF,1,0.51,icmp,1.0,0.0,81,0,eco_i,0.0,0,0,2,0.0,0.0,anomaly
0,0.0,0.05,S0,204,0.0,tcp,0.0,1.0,24,0,domain,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.06,S0,132,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,RSTO,168,0.0,tcp,0.0,0.0,2,0,nntp,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.08,S0,125,0.0,tcp,0.0,1.0,12,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,254,0.0,tcp,0.0,1.0,15,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,232,0.0,tcp,0.0,1.0,11,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.04,S0,135,0.0,tcp,0.0,1.0,21,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.07,S0,236,0.0,tcp,0.0,1.0,20,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.07,REJ,66,0.0,tcp,0.0,0.0,11,0,private,0.0,0,0,255,1.0,0.09,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,129,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
41476,0.51,0.26,RSTR,2,0.0,tcp,0.0,0.0,2,0,private,0.0,0,0,246,0.51,0.0,anomaly
1,0.07,0.0,RSTR,3,0.0,tcp,0.0,0.0,15,0,http,0.0,4380,1,15,0.47,0.0,anomaly
0,0.0,0.07,S0,260,0.0,tcp,0.0,1.0,8,0,daytime,1.0,0,0,255,0.0,0.07,anomaly
1,1.0,1.0,RSTR,1,0.0,tcp,0.0,0.0,1,0,private,0.0,0,0,255,1.0,0.0,anomaly
0,0.0,0.08,S0,116,0.0,tcp,0.0,1.0,2,0,csnet_ns,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,60,0.0,tcp,0.0,1.0,13,0,netbios_dgm,1.0,0,0,255,0.0,0.1,anomaly
0,1.0,0.0,SF,1,0.12,tcp,0.0,0.02,48,0,ftp_data,0.0,0,1,13,0.0,0.0,anomaly
0,0.35,0.05,SF,32,0.0,udp,0.0,0.0,32,0,private,0.0,0,0,100,0.0,0.0,anomaly
0,0.06,0.06,S0,22,0.29,tcp,0.0,0.29,7,0,finger,0.97,0,0,64,0.0,0.09,anomaly
0,0.0,0.08,S0,3,0.0,tcp,0.0,1.0,22,0,telnet,1.0,0,0,255,0.0,0.67,anomaly
0,1.0,0.04,SF,146,0.0,udp,0.0,0.0,166,0,private,0.0,0,0,255,0.0,0.03,anomaly
0,0.0,0.08,S0,236,0.0,tcp,0.0,1.0,7,0,gopher,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,RSTO,121,0.0,tcp,0.0,0.0,19,0,exec,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.08,REJ,220,0.0,tcp,0.0,0.0,12,0,ftp_data,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.07,S0,240,0.0,tcp,0.0,1.0,1,0,finger,1.0,0,0,255,0.0,0.06,anomaly
0,0.84,0.02,SF,1,0.0,udp,0.0,0.0,81,0,private,0.0,0,0,97,0.0,0.0,anomaly
0,0.67,0.48,SF,13,0.0,udp,0.0,0.0,1,0,private,0.0,0,0,255,0.33,0.31,anomaly
0,0.0,0.08,REJ,228,0.0,tcp,0.0,0.0,15,0,systat,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.07,S0,292,0.0,tcp,0.0,1.0,9,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.08,REJ,270,0.0,tcp,0.0,0.0,20,0,ftp_data,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.07,REJ,247,0.0,tcp,0.0,0.0,8,0,uucp_path,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,1.0,REJ,500,0.0,tcp,0.0,0.0,1,0,other,0.04,0,0,255,0.96,1.0,anomaly
0,0.0,0.07,S0,255,0.0,tcp,0.0,1.0,10,0,csnet_ns,1.0,0,0,255,0.0,0.06,anomaly
0,0.68,0.36,RSTO,173,0.0,tcp,0.0,0.0,3,0,finger,0.0,0,0,255,0.93,0.53,anomaly
0,0.0,0.07,S0,143,0.0,tcp,0.0,1.0,2,0,login,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.97,REJ,265,0.0,tcp,0.0,0.0,1,0,private,0.04,0,0,255,0.92,1.0,anomaly
0,0.0,0.05,S0,275,0.0,tcp,0.0,1.0,8,0,ftp_data,1.0,0,0,255,0.0,0.05,anomaly
38818,1.0,0.51,RSTR,2,0.0,tcp,0.0,0.0,2,0,private,0.0,0,0,255,1.0,0.0,anomaly
0,0.0,0.07,REJ,275,0.0,tcp,0.0,0.0,14,0,ctf,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.07,S0,240,0.0,tcp,0.0,1.0,19,0,mtp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.05,S0,234,0.0,tcp,0.0,1.0,16,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.05,S0,146,0.0,tcp,0.0,1.0,7,0,nnsp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.05,S0,273,0.0,tcp,0.0,1.0,24,0,gopher,1.0,0,0,255,0.0,0.05,anomaly
0,1.0,0.0,SF,1,1.0,icmp,0.0,0.0,54,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,113,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.05,S0,58,0.0,tcp,0.0,1.0,20,0,private,1.0,0,0,255,0.0,0.09,anomaly
0,0.0,0.07,S0,129,0.0,tcp,0.0,1.0,12,0,mtp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,1.0,REJ,477,0.0,tcp,0.0,0.0,1,0,other,0.04,0,0,255,0.96,1.0,anomaly
0,0.01,0.07,S0,47,0.0,tcp,0.0,1.0,8,0,finger,1.0,0,0,255,0.0,0.09,anomaly
0,1.0,0.0,SF,1,1.0,icmp,0.0,0.0,140,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.09,0.02,SF,20,0.0,icmp,0.0,0.0,22,1,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.0,0.07,S0,206,0.0,tcp,0.0,1.0,4,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,1.0,0.0,SF,358,0.0,icmp,0.0,0.0,255,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.33,0.02,SF,85,0.0,icmp,0.0,0.0,85,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,0.2,0.02,SF,52,0.0,udp,0.0,0.0,51,3,private,0.0,0,0,255,0.6,0.04,anomaly
0,1.0,0.0,SF,248,0.0,icmp,0.0,0.0,255,0,ecr_i,0.0,0,0,255,0.0,0.0,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,82,0,eco_i,0.0,0,0,2,0.0,0.0,anomaly
0,0.05,0.16,S0,117,0.0,tcp,0.0,1.0,12,0,private,1.0,0,0,19,0.0,0.07,anomaly
0,0.02,0.0,SF,4,0.0,tcp,0.4,0.02,57,0,http,0.02,8314,1,57,0.02,0.0,anomaly
0,1.0,0.0,SF,2,0.26,icmp,1.0,0.0,27,0,eco_i,0.0,0,0,3,0.0,1.0,anomaly
0,0.0,0.06,S0,204,0.0,tcp,0.0,1.0,2,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.05,S0,271,0.0,tcp,0.0,1.0,11,0,Z39_50,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.06,S0,197,0.0,tcp,0.0,1.0,19,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,136,0.0,tcp,0.0,1.0,2,0,hostnames,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,99,0.0,tcp,0.0,1.0,3,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,REJ,106,0.0,tcp,0.0,0.0,9,0,private,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.02,SF,1,0.0,tcp,0.0,0.0,44,0,ftp,0.05,2447,1,255,0.0,0.0,anomaly
0,0.0,0.09,S0,143,0.0,tcp,0.0,1.0,5,0,exec,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.09,REJ,249,0.0,tcp,0.0,0.0,13,0,private,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.07,S0,135,0.0,tcp,0.0,1.0,14,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,257,0.0,tcp,0.0,1.0,6,0,remote_job,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.08,S0,280,0.0,tcp,0.0,1.0,14,0,private,1.0,0,0,255,0.0,0.06,anomaly
6,0.06,1.0,SF,1,0.0,tcp,0.0,0.0,1,0,time,0.0,4,0,18,0.83,0.0,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,24,0,eco_i,0.0,0,0,2,0.0,0.0,anomaly
7,0.0,1.0,SF,511,0.0,tcp,0.0,0.0,1,0,ftp,0.13,109,0,255,0.85,1.0,anomaly
0,0.0,0.06,S0,79,0.0,tcp,0.0,1.0,10,0,private,1.0,0,0,230,0.0,0.06,anomaly
0,0.0,0.07,RSTO,118,0.0,tcp,0.0,0.0,3,0,discard,0.0,0,0,255,1.0,0.07,anomaly
0,0.0,0.06,REJ,104,0.0,tcp,0.0,0.0,18,0,private,0.0,0,0,255,1.0,0.08,anomaly
0,0.0,0.07,S0,123,0.0,tcp,0.0,1.0,5,0,private,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.09,S0,120,0.0,tcp,0.0,1.0,8,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,248,0.0,tcp,0.0,1.0,2,0,mtp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.0,RSTR,4,0.0,tcp,0.0,0.0,255,0,http,0.0,2920,1,255,0.04,0.0,anomaly
0,0.0,0.08,S0,218,0.0,tcp,0.0,1.0,6,0,netstat,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.06,S0,245,0.0,tcp,0.0,1.0,14,0,link,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.07,REJ,149,0.0,tcp,0.0,0.0,19,0,private,0.0,0,0,255,1.0,0.05,anomaly
0,0.0,0.07,S0,198,0.0,tcp,0.0,1.0,2,0,iso_tsap,1.0,0,0,255,0.0,0.08,anomaly
0,0.0,0.07,S0,282,0.0,tcp,0.0,1.0,11,0,imap4,1.0,0,0,255,0.0,0.06,anomaly
0,0.01,0.08,REJ,112,0.0,tcp,0.0,0.0,5,0,private,0.0,0,0,137,1.0,0.08,anomaly
0,0.0,0.07,S0,134,0.0,tcp,0.0,1.0,12,0,efs,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,RSTO,145,0.0,tcp,0.0,0.0,10,0,login,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.07,S0,98,0.0,tcp,0.0,1.0,20,0,efs,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,REJ,111,0.0,tcp,0.0,0.0,17,0,private,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.08,S0,259,0.0,tcp,0.0,1.0,7,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,S0,284,0.0,tcp,0.0,1.0,15,0,sunrpc,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.06,S0,54,0.0,tcp,0.0,1.0,29,0,telnet,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.06,S0,108,0.0,tcp,0.0,1.0,5,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,1.0,0.0,SF,1,0.5,icmp,1.0,0.0,28,0,eco_i,0.0,0,0,2,0.0,0.0,anomaly
0,0.0,0.07,REJ,273,0.0,tcp,0.0,0.0,17,0,bgp,0.0,0,0,255,1.0,0.07,anomaly
0,1.0,0.0,SF,1,0.51,icmp,1.0,0.0,37,0,eco_i,0.0,0,0,1,0.0,0.0,anomaly
0,0.0,0.07,REJ,139,0.0,tcp,0.0,0.0,3,0,private,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.06,S0,212,0.0,tcp,0.0,1.0,25,0,netstat,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,148,0.0,tcp,0.0,1.0,1,0,klogin,1.0,0,0,255,0.0,0.05,anomaly
0,0.01,0.02,S0,57,0.0,tcp,0.0,0.96,56,0,telnet,0.99,0,0,219,0.0,0.07,anomaly
0,0.0,0.08,S0,272,0.0,tcp,0.1,1.0,13,0,http,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,209,0.0,tcp,0.0,1.0,16,0,discard,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.09,S0,117,0.0,tcp,0.0,1.0,11,0,sql_net,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.06,S0,125,0.0,tcp,0.0,1.0,8,0,private,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.06,S0,90,0.0,tcp,0.0,1.0,14,0,sql_net,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.07,S0,135,0.0,tcp,0.0,1.0,18,0,login,1.0,0,0,255,0.0,0.07,anomaly
0,0.0,0.05,S0,284,0.0,tcp,0.0,1.0,21,0,http,1.0,0,0,255,0.0,0.05,anomaly
0,0.0,0.02,S0,52,0.0,tcp,0.0,1.0,67,0,http,1.0,0,0,255,0.0,0.08,anomaly
0,1.0,0.0,SF,1,0.15,tcp,0.0,0.03,40,0,ftp_data,0.0,0,1,6,0.0,0.0,anomaly
0,0.0,0.06,S0,280,0.0,tcp,0.0,1.0,27,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,S0,283,0.0,tcp,0.0,1.0,12,0,discard,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.05,S0,102,0.0,tcp,0.0,1.0,1,0,bgp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,1.0,REJ,492,0.0,tcp,0.0,0.0,1,0,uucp_path,0.08,0,0,255,0.92,1.0,anomaly
0,0.0,0.09,S0,221,0.0,tcp,0.0,1.0,3,0,bgp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,S0,46,0.0,tcp,0.0,1.0,16,0,private,1.0,0,0,255,0.0,0.13,anomaly
0,0.0,0.08,S0,118,0.0,tcp,0.0,1.0,8,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.34,0.01,SF,318,0.0,icmp,0.0,0.0,76,0,ecr_i,0.0,0,0,221,0.0,0.0,anomaly
0,0.0,0.06,S0,241,0.0,tcp,0.0,1.0,10,0,iso_tsap,1.0,0,0,255,0.0,0.06,anomaly
0,0.01,0.02,S0,71,0.0,tcp,0.0,1.0,57,0,telnet,1.0,0,0,255,0.0,0.06,anomaly
0,0.01,0.08,S0,10,0.0,tcp,0.0,1.0,3,0,telnet,1.0,0,0,255,0.0,0.4,anomaly
0,0.0,0.07,REJ,59,0.0,tcp,0.0,0.0,8,0,private,0.0,0,0,255,1.0,0.07,anomaly
0,0.67,0.44,SF,4,0.0,udp,0.0,0.0,35,0,private,0.03,0,0,255,0.3,0.0,anomaly
0,0.0,0.04,S0,53,0.0,tcp,0.0,1.0,38,0,ftp_data,1.0,0,0,255,0.0,0.11,anomaly
0,0.01,0.06,S0,112,0.0,tcp,0.0,1.0,13,0,private,1.0,0,0,168,0.0,0.05,anomaly
0,0.0,0.09,S0,195,0.0,tcp,0.0,1.0,16,0,bgp,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.08,S0,46,0.0,tcp,0.0,1.0,14,0,vmnet,1.0,0,0,255,0.0,0.13,anomaly
0,0.0,0.07,S0,104,0.0,tcp,0.0,1.0,4,0,systat,1.0,0,0,255,0.0,0.06,anomaly
0,0.0,0.07,REJ,246,0.0,tcp,0.0,0.0,19,0,private,0.0,0,0,255,1.0,0.06,anomaly
0,0.0,0.07,S0,253,0.0,tcp,0.0,1.0,7,0,private,1.0,0,0,255,0.0,0.06,anomaly
0,0.01,0.02,S0,61,0.0,tcp,0.0,0.96,57,0,telnet,0.99,0,0,223,0.0,0.07,anomaly
