,syn_error_rate,connection_time,destination_same_source_port_rate,destination_different_server_rate,connection_status,connection_count,destination_server_different_host_rate,suspicious_activity,protocol,server_different_host_rate,destination_server_syn_error_rate,destination_host_server_count,destination_same_server_rate,fragment_errors,compromised_count,source_bytes,service_type,destination_syn_error_rate,same_server_rate,reset_error_rate,server_request_count,destination_server_reset_error_rate,server_reset_error_rate,server_syn_error_rate,destination_bytes,guest_login,authentication_status,destination_host_count,destination_reset_error_rate,different_server_rate,class
185,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,28,1.0,0,0,8,eco_i,0.0,1.0,0.0,37,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
187,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,37,1.0,0,0,8,eco_i,0.0,1.0,0.0,30,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
200,0.0,0,1.0,0.0,SF,1,0.15,0,tcp,0.0,0.03,40,1.0,0,0,334,ftp_data,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,1,6,0.0,0.0,anomaly
208,0.0,0,0.34,0.01,SF,318,0.0,0,icmp,0.0,0.0,76,0.34,0,0,1032,ecr_i,0.0,1.0,0.0,318,0.0,0.0,0.0,0,0,0,221,0.0,0.0,anomaly
213,0.0,0,0.67,0.44,SF,4,0.0,0,udp,0.0,0.0,35,0.14,0,0,1,private,0.03,1.0,0.0,4,0.0,0.0,0.0,0,0,0,255,0.3,0.0,anomaly
224,0.0,0,0.64,0.64,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.01,0,0,0,private,0.05,1.0,1.0,1,1.0,1.0,0.0,0,0,0,133,0.62,0.0,anomaly
229,0.0,0,1.0,1.0,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,pop_3,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
233,0.0,17297,1.0,0.73,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,other,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
234,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,222,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
235,1.0,0,0.0,0.02,S0,3,0.0,0,tcp,0.0,1.0,52,0.2,0,0,0,ftp_data,1.0,1.0,0.0,3,0.0,0.0,1.0,0,0,0,255,0.0,0.0,anomaly
240,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,54,1.0,0,0,8,eco_i,0.0,1.0,0.0,16,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
243,0.0,0,0.45,0.08,SF,510,0.0,0,icmp,0.0,0.0,115,0.45,0,0,1032,ecr_i,0.0,1.0,0.0,510,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
244,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,86,1.0,0,0,8,eco_i,0.0,1.0,0.0,3,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
250,0.0,0,0.04,0.0,SF,5,0.0,2,tcp,0.0,0.0,26,1.0,0,1,54540,http,0.0,1.0,0.0,5,0.08,0.0,0.0,8314,0,1,26,0.08,0.0,anomaly
253,0.0,0,0.84,0.85,REJ,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.84,0.0,anomaly
260,0.0,0,1.0,0.0,SF,1,0.0,2,tcp,0.0,0.0,1,1.0,0,1,54540,http,0.0,1.0,0.0,1,0.0,0.0,0.0,8314,0,1,1,0.0,0.0,anomaly
264,1.0,0,0.01,0.02,S0,15,0.0,0,tcp,0.0,0.96,57,0.59,0,0,0,telnet,0.98,1.0,0.0,15,0.0,0.0,1.0,0,0,0,97,0.0,0.0,anomaly
272,0.0,0,0.01,0.0,SF,4,0.0,2,tcp,0.0,0.01,67,1.0,0,1,54540,http,0.01,1.0,0.0,4,0.01,0.0,0.0,8314,0,1,67,0.01,0.0,anomaly
273,0.0,0,0.0,0.0,SF,4,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.5,4,0.04,0.5,0.0,8314,0,1,255,0.04,0.0,anomaly
276,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,96,1.0,0,0,8,eco_i,0.0,1.0,0.0,18,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
280,0.0,0,0.01,0.06,SF,5,0.0,1,tcp,0.0,0.0,7,0.05,0,0,9,finger,0.01,1.0,0.0,5,0.0,0.0,0.0,196,0,0,155,0.0,0.0,anomaly
284,1.0,0,0.0,0.07,S0,7,0.0,0,tcp,0.0,1.0,7,0.03,0,0,0,http,1.0,1.0,0.0,7,0.0,0.0,1.0,0,0,0,255,0.0,0.0,anomaly
286,0.0,9741,1.0,0.74,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,other,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
288,0.0,0,0.02,1.0,SF,1,0.22,0,tcp,0.0,0.0,9,0.02,0,0,0,finger,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,60,0.92,0.0,anomaly
289,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,49,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
290,0.0,0,0.18,0.04,SF,511,0.0,0,icmp,0.0,0.0,45,0.18,0,0,1032,ecr_i,0.24,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.02,0.0,anomaly
303,0.0,0,1.0,0.0,SF,1,1.0,0,icmp,0.0,0.0,143,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
310,0.0,0,0.85,0.01,SF,1,0.0,0,udp,0.0,0.0,139,0.85,0,0,215,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,163,0.0,0.0,anomaly
312,0.0,0,0.49,0.02,SF,511,0.0,0,icmp,0.0,0.0,126,0.49,0,0,1032,ecr_i,0.02,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
317,0.0,2,0.0,0.02,SF,1,0.0,28,tcp,0.0,0.0,52,0.23,0,0,1153,ftp,0.0,1.0,0.0,1,0.0,0.0,0.0,2445,1,1,224,0.01,0.0,anomaly
319,0.0,0,0.55,0.02,SF,89,0.0,0,udp,0.0,0.0,89,0.55,3,0,28,private,0.0,1.0,0.0,89,0.0,0.0,0.0,0,0,0,161,0.0,0.0,anomaly
321,0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,118,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.02,0.0,0.0,8314,0,1,118,0.02,0.0,anomaly
329,0.0,98,0.0,0.02,SF,1,0.0,1,tcp,0.0,0.0,4,0.02,0,5,621,telnet,0.0,1.0,0.0,1,0.0,0.0,0.0,8356,0,1,255,0.0,0.0,anomaly
332,0.0,0,1.0,0.0,SF,1,0.52,0,icmp,1.0,0.0,25,1.0,0,0,8,eco_i,0.0,1.0,0.0,16,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
335,0.0,0,0.67,0.33,SF,2,0.16,0,tcp,0.0,0.0,38,0.67,0,0,334,ftp_data,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,1,6,0.0,0.0,anomaly
336,0.0,0,0.0,1.0,SF,1,0.0,0,udp,0.0,0.0,1,0.0,0,0,1,private,0.22,1.0,0.0,1,0.0,0.0,0.0,0,0,0,255,0.78,0.0,anomaly
346,0.0,5043,1.0,0.0,SF,1,0.14,4,tcp,0.29,0.02,42,1.0,0,0,5131424,ftp_data,0.0,1.0,0.0,7,0.0,0.0,0.14,0,0,1,7,0.0,0.0,anomaly
354,0.0,0,0.02,0.05,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.01,0,0,0,daytime,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,172,0.03,0.0,anomaly
355,0.0,0,0.0,0.0,SF,4,0.0,2,tcp,0.0,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.5,4,0.06,0.5,0.0,8314,0,1,255,0.06,0.0,anomaly
362,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,66,1.0,0,0,8,eco_i,0.0,1.0,0.0,28,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
363,0.0,0,0.01,0.0,SF,2,0.0,2,tcp,0.0,0.0,100,1.0,0,1,54540,http,0.0,1.0,0.0,2,0.01,0.0,0.0,8314,0,1,100,0.01,0.0,anomaly
365,0.0,0,1.0,0.0,SF,1,0.51,0,icmp,1.0,0.0,87,1.0,0,0,8,eco_i,0.0,1.0,0.0,37,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
368,0.0,0,0.14,0.05,SF,12,0.0,0,udp,0.0,0.0,12,0.14,3,0,28,private,0.0,1.0,0.0,12,0.0,0.0,0.0,0,0,0,84,0.0,0.0,anomaly
371,1.0,0,0.01,0.01,S0,13,0.0,0,tcp,0.0,0.97,75,0.56,0,0,0,telnet,0.99,1.0,0.0,13,0.0,0.0,1.0,0,0,0,135,0.0,0.0,anomaly
379,0.0,0,0.11,0.03,SF,1,0.0,0,udp,0.0,0.0,9,0.11,0,0,100,private,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,79,0.0,0.0,anomaly
381,0.0,0,0.89,0.01,SF,511,0.0,0,icmp,0.0,0.0,227,0.89,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
384,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,98,1.0,0,0,8,eco_i,0.0,1.0,0.0,39,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
390,0.0,0,1.0,0.0,SF,68,0.0,0,icmp,0.0,0.0,255,1.0,0,0,520,ecr_i,0.0,1.0,0.0,68,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
391,0.0,12,1.0,0.0,SF,2,0.04,0,tcp,0.0,0.02,46,1.0,0,0,7045,ftp_data,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,1,2,0.0,0.0,anomaly
396,0.0,53,0.5,0.0,SF,1,0.0,3,tcp,0.0,0.0,2,1.0,0,1,2628,telnet,0.0,1.0,0.0,1,0.0,0.0,0.0,3860,0,1,2,0.0,0.0,anomaly
404,0.0,0,0.19,0.02,SF,48,0.0,0,udp,0.0,0.0,48,0.19,3,0,28,private,0.0,1.0,0.0,48,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
405,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,63,1.0,0,0,8,eco_i,0.0,1.0,0.0,23,0.0,0.0,0.0,0,0,0,3,0.0,0.0,anomaly
407,0.0,37072,1.0,0.5,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
413,0.0,0,0.04,0.02,SF,11,0.0,0,udp,0.0,0.0,11,0.04,3,0,28,private,0.0,1.0,0.0,11,0.0,0.0,0.0,0,0,0,255,0.74,0.0,anomaly
415,0.5,0,0.8,0.0,SF,4,0.0,2,tcp,0.36,0.5,10,1.0,0,0,0,imap4,0.5,1.0,0.0,125,0.0,0.04,0.75,0,0,0,10,0.0,0.0,anomaly
417,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,166,1.0,0,0,8,eco_i,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
419,0.0,0,0.44,0.02,SF,511,0.0,0,icmp,0.0,0.0,113,0.44,0,0,1032,ecr_i,0.01,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.02,0.0,anomaly
422,0.0,0,0.57,0.29,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.57,0.0,anomaly
424,0.0,0,1.0,0.0,SF,1,0.31,0,icmp,1.0,0.0,13,1.0,0,0,8,eco_i,0.0,1.0,0.0,43,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
438,0.0,0,1.0,0.0,SF,1,0.11,0,tcp,0.0,0.0,38,1.0,0,0,334,ftp_data,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,1,11,0.0,0.0,anomaly
447,0.0,0,0.38,0.4,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,0.38,0.0,anomaly
449,0.0,0,0.2,0.22,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,209,0.21,0.0,anomaly
454,0.0,0,1.0,0.0,SF,1,0.0,0,icmp,1.0,0.0,1,1.0,0,0,8,eco_i,0.0,1.0,0.0,42,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
455,0.0,0,1.0,0.0,SF,1,0.55,0,icmp,1.0,0.0,11,1.0,0,0,8,eco_i,0.0,1.0,0.0,12,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
459,0.0,0,0.49,0.49,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.01,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,191,0.48,0.0,anomaly
466,0.0,0,0.47,0.18,SF,511,0.0,0,icmp,0.0,0.0,119,0.47,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
472,1.0,0,0.03,0.07,S0,7,0.01,0,tcp,0.33,0.05,141,0.24,0,0,0,smtp,0.93,1.0,0.0,9,0.0,0.0,0.78,0,0,0,29,0.0,0.0,anomaly
473,0.0,0,1.0,0.0,SF,1,0.26,0,icmp,1.0,0.0,61,1.0,0,0,8,eco_i,0.0,1.0,0.0,5,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
484,0.0,0,0.03,0.02,SF,511,0.0,0,icmp,0.0,0.0,5,0.03,0,0,1032,ecr_i,0.0,1.0,0.0,511,0.0,0.0,0.0,0,0,0,150,0.0,0.0,anomaly
494,0.0,0,0.5,0.5,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.01,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,196,0.49,0.0,anomaly
498,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,0.0,0.0,151,1.0,0,0,18,eco_i,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0,0,3,0.0,0.0,anomaly
507,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,112,1.0,0,0,8,eco_i,0.0,1.0,0.0,25,0.0,0.0,0.0,0,0,0,4,0.0,0.0,anomaly
516,0.0,0,0.09,0.05,SF,20,0.0,0,udp,0.0,0.0,20,0.09,3,0,28,private,0.02,1.0,0.0,20,0.0,0.0,0.0,0,0,0,223,0.0,0.0,anomaly
523,0.0,0,1.0,0.0,SF,361,0.0,0,icmp,0.0,0.0,255,1.0,0,0,520,ecr_i,0.0,1.0,0.0,361,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
538,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,106,1.0,0,0,8,eco_i,0.0,1.0,0.0,48,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
540,0.0,0,0.03,1.0,REJ,1,0.0,0,tcp,0.0,0.0,1,0.03,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,39,0.9,0.0,anomaly
545,0.0,0,0.0,0.0,SF,5,0.0,2,tcp,0.33,0.0,255,1.0,0,1,54540,http,0.0,1.0,0.0,6,0.03,0.17,0.0,8314,0,1,255,0.03,0.0,anomaly
551,0.0,26090,1.0,0.72,RSTR,2,0.0,0,tcp,0.0,0.0,2,0.01,0,0,1,private,0.0,1.0,1.0,2,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
560,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,255,1.0,0,0,8,eco_i,0.0,1.0,0.0,28,0.0,0.0,0.0,0,0,0,1,0.0,0.0,anomaly
565,0.0,0,1.0,0.0,SF,1,0.25,0,icmp,1.0,0.0,254,1.0,0,0,8,eco_i,0.0,1.0,0.0,36,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
571,0.0,0,1.0,0.0,SF,1,0.5,0,icmp,1.0,0.0,150,1.0,0,0,8,eco_i,0.0,1.0,0.0,6,0.0,0.0,0.0,0,0,0,2,0.0,0.0,anomaly
572,0.0,25420,1.0,0.62,RSTR,1,0.0,0,tcp,0.0,0.0,1,0.0,0,0,0,private,0.0,1.0,1.0,1,1.0,1.0,0.0,0,0,0,255,1.0,0.0,anomaly
573,0.0,0,0.15,0.08,SF,511,0.0,0,icmp,0.0,0.0,37,0.15,0,0,1032,ecr_i,0.07,1.0,0.0,511,0.0,0.0,0.0,0,0,0,255,0.0,0.0,anomaly
587,0.0,0,0.17,0.03,SF,2,0.0,0,tcp,0.0,0.0,25,0.17,0,0,491,ftp_data,0.0,1.0,0.0,2,0.0,0.0,0.0,0,0,0,150,0.05,0.0,normal
589,0.2,0,0.03,0.0,SF,5,0.04,0,tcp,0.0,0.01,255,1.0,0,0,232,http,0.03,1.0,0.0,5,0.01,0.0,0.2,8153,0,1,30,0.0,0.0,normal
590,0.0,0,0.0,0.0,SF,30,0.0,0,tcp,0.09,0.0,255,1.0,0,0,199,http,0.0,1.0,0.0,32,0.0,0.0,0.0,420,0,1,255,0.0,0.0,normal
591,0.0,0,0.12,0.0,SF,3,0.03,0,tcp,0.43,0.0,219,1.0,0,0,287,http,0.0,1.0,0.0,7,0.0,0.0,0.0,2251,0,1,8,0.0,0.0,normal
